,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YDS,PASS_TDS,INTS
34,Melvin Gordon III,DEN,RB,157.6,699.7,6.1,22.2,160.3,1.1,1.8,0.0,0.0,0,0.0,0.0
35,Rhamondre Stevenson,NE,RB,167.9,719.3,5.8,22.7,176.5,0.5,1.4,0.0,0.0,0,0.0,0.0
36,Chase Edmonds,MIA,RB,135.4,614.1,3.2,46.5,327.4,1.6,1.3,0.0,0.0,0,0.0,0.0
37,James Robinson,JAC,RB,146.8,649.6,5.2,22.4,162.5,0.9,1.5,0.0,0.0,0,0.0,0.0
38,Ken Walker III,SEA,RB,157.5,701.8,4.5,20.5,161.2,0.6,1.8,0.0,0.0,0,0.0,0.0
39,Michael Carter,NYJ,RB,122.8,521.7,3.0,34.0,288.6,1.1,1.2,0.0,0.0,0,0.0,0.0
40,Gus Edwards,BAL,RB,139.4,688.7,4.2,11.4,99.2,0.3,1.3,0.0,0.0,0,0.0,0.0
41,Ronald Jones II,KC,RB,137.4,604.1,5.1,14.3,102.1,0.5,1.4,0.0,0.0,0,0.0,0.0
42,Raheem Mostert,MIA,RB,119.0,573.0,3.8,17.9,140.2,0.9,0.8,0.0,0.0,0,0.0,0.0
43,Jamaal Williams,DET,RB,143.1,581.4,3.3,22.2,142.5,0.8,1.2,0.0,0.0,0,0.0,0.0
44,Marlon Mack,HOU,RB,153.0,616.4,3.7,16.1,107.7,0.2,1.2,0.0,0.0,0,0.0,0.0
45,James Cook,BUF,RB,99.1,439.9,3.2,30.0,233.7,1.5,1.3,0.0,0.0,0,0.0,0.0
46,Darrell Henderson Jr.,LAR,RB,113.3,482.4,3.9,21.0,153.2,1.3,1.1,0.0,0.0,0,0.0,0.0
47,Dameon Pierce,HOU,RB,130.1,513.5,3.4,21.9,171.8,0.8,1.8,0.0,0.0,0,0.0,0.0
48,Alexander Mattison,MIN,RB,117.8,489.1,2.8,25.1,184.9,1.0,1.2,0.0,0.0,0,0.0,0.0
49,Mark Ingram II,NO,RB,132.5,509.9,3.7,18.7,133.4,0.6,1.3,0.0,0.0,0,0.0,0.0
50,Kenneth Gainwell,PHI,RB,87.8,381.1,3.9,26.3,202.4,1.2,1.3,0.0,0.0,0,0.0,0.0
51,Nyheim Hines,IND,RB,60.9,277.8,1.7,50.1,386.6,2.0,2.4,0.0,0.0,0,0.0,0.0
52,Kenyan Drake,LV,RB,88.8,377.5,3.1,27.3,217.7,0.9,0.7,0.0,0.0,0,0.0,0.0
53,J.D. McKissic,WAS,RB,55.0,246.8,1.7,46.1,368.7,1.7,0.7,0.0,0.0,0,0.0,0.0
54,Tyler Allgeier,ATL,RB,111.7,444.1,2.7,19.0,153.1,0.7,1.7,0.0,0.0,0,0.0,0.0
55,Isaiah Spiller,LAC,RB,93.6,398.0,2.7,19.7,148.5,1.2,0.6,0.0,0.0,0,0.0,0.0
56,Rachaad White,TB,RB,91.6,373.2,3.5,18.2,141.7,0.8,1.2,0.0,0.0,0,0.0,0.0
57,Darrel Williams,ARI,RB,90.1,343.8,3.0,23.1,195.6,0.8,1.2,0.0,0.0,0,0.0,0.0
58,Rex Burkhead,HOU,RB,80.1,305.3,2.4,29.6,230.0,1.1,0.7,0.0,0.0,0,0.0,0.0
59,Damien Williams,ATL,RB,89.6,361.5,2.8,22.5,160.2,1.0,1.2,0.0,0.0,0,0.0,0.0
60,Brian Robinson Jr.,WAS,RB,94.3,404.8,3.0,13.0,97.4,0.5,1.2,0.0,0.0,0,0.0,0.0
