"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Allen Robinson II","LAR","WR27","0.0","0.0","0.0","73.5","937.4","6.5","0.7","131.2"
"Tyler Lockett","SEA","WR28","2.1","11.1","0.1","76.8","986.2","5.1","0.7","129.2"
"Rashaad Penny","SEA","RB33","173.6","846.6","5.6","14.6","108.5","0.3","1.2","128.6"
"Marquise Brown","ARI","WR29","1.4","8.4","0.1","76.0","935.5","5.8","0.9","127.9"
"Amon-Ra St. Brown","DET","WR30","8.0","56.3","0.5","81.7","882.4","5.3","0.8","127.1"
"Michael Thomas","NO","WR31","0.3","-1.0","0.0","80.6","944.6","5.7","0.7","127.0"
"Darren Waller","LV","TE3","0.0","0.0","0.0","80.6","973.2","5.1","0.7","126.8"
"Adam Thielen","MIN","WR32","0.5","1.5","0.0","72.1","798.0","8.0","0.8","126.4"
"Melvin Gordon III","DEN","RB34","157.6","699.7","6.1","22.2","160.3","1.1","1.8","125.3"
"Rhamondre Stevenson","NE","RB35","167.9","719.3","5.8","22.7","176.5","0.5","1.4","124.5"
"George Kittle","SF","TE4","0.0","0.0","0.0","75.8","921.4","5.5","0.8","123.4"
"JuJu Smith-Schuster","KC","WR33","2.4","11.6","0.6","75.3","815.5","6.3","0.8","122.5"
"Rashod Bateman","BAL","WR34","0.0","0.0","0.0","73.5","931.1","5.0","0.8","121.4"
"Kyle Pitts","ATL","TE5","0.0","0.0","0.0","71.5","960.1","4.4","0.7","121.1"
"Elijah Moore","NYJ","WR35","5.3","44.7","0.6","64.5","823.6","5.3","0.8","120.9"
"DeVonta Smith","PHI","WR36","0.0","0.0","0.0","64.1","857.8","6.1","0.7","120.6"
"Chase Edmonds","MIA","RB36","135.4","614.1","3.2","46.5","327.4","1.6","1.3","119.9"
"Hunter Renfrow","LV","WR37","1.5","6.3","0.0","79.4","826.0","5.8","1.0","116.6"
"Chase Claypool","PIT","WR38","8.9","52.8","0.3","61.0","856.2","4.1","0.7","115.6"
"Treylon Burks","TEN","WR39","2.6","15.0","0.1","61.1","866.9","4.9","1.2","115.4"
"Robert Woods","TEN","WR40","7.4","51.5","0.6","68.9","802.2","4.7","0.7","115.4"
"James Robinson","JAC","RB37","146.8","649.6","5.2","22.4","162.5","0.9","1.5","114.8"
"Christian Kirk","JAC","WR41","0.5","5.0","0.0","72.8","875.3","4.6","0.7","114.4"
"Ken Walker III","SEA","RB38","157.5","701.8","4.5","20.5","161.2","0.6","1.8","113.2"
"Drake London","ATL","WR42","0.8","3.0","0.0","64.8","877.2","4.5","1.2","112.5"
"Russell Gage","TB","WR43","0.3","1.0","0.0","66.5","776.7","5.8","1.3","110.0"
"Dalton Schultz","DAL","TE6","0.0","0.0","0.0","75.2","746.9","5.9","0.7","109.0"
"DeVante Parker","NE","WR44","0.0","0.0","0.0","57.3","774.9","5.0","0.7","106.1"
"Brandon Aiyuk","SF","WR45","2.6","16.1","0.0","58.7","763.7","4.9","0.8","105.8"
"Robbie Anderson","CAR","WR46","3.4","23.9","0.1","58.8","744.4","4.9","0.7","105.6"
"Kadarius Toney","NYG","WR47","8.0","52.5","0.2","66.8","765.8","4.0","0.8","105.4"
"DeAndre Hopkins","ARI","WR48","0.0","0.5","0.0","59.1","729.7","5.6","0.7","105.2"
"Kenny Golladay","NYG","WR49","0.0","0.0","0.0","55.3","800.6","4.4","0.7","105.0"
"Michael Gallup","DAL","WR50","0.0","0.0","0.0","53.8","744.9","5.1","0.6","104.0"
"Dallas Goedert","PHI","TE7","0.0","0.0","0.0","62.0","754.1","5.0","0.7","103.8"
"Tim Patrick","DEN","WR51","0.0","0.0","0.0","52.9","720.1","5.4","0.7","103.3"
