"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Kylen Granson","IND","TE52","0.0","0.0","0.0","16.7","167.9","1.2","0.1","23.9"
"Juwann Winfree","GB","WR132","0.0","0.0","0.0","14.4","167.7","1.2","0.0","23.9"
"Kendall Blanton","LAR","TE53","0.0","0.0","0.0","15.5","162.4","1.4","0.5","23.8"
"Jamal Agnew","JAC","WR133","8.6","56.3","0.4","10.4","118.9","0.7","0.1","23.8"
"Jordan Akins","NYG","TE54","0.0","0.0","0.0","19.1","182.8","1.1","0.6","23.7"
"Tony Jones Jr.","NO","RB90","34.7","137.2","1.0","3.9","32.7","0.1","0.0","23.2"
"Josiah Deguara","GB","TE55","0.0","0.0","0.0","14.2","147.3","1.4","0.1","22.9"
"Miles Boykin","PIT","WR134","0.0","0.0","0.0","13.2","162.8","1.1","0.0","22.6"
"Dyami Brown","WAS","WR135","0.0","0.0","0.0","12.9","160.1","1.0","0.1","22.1"
"Jermar Jefferson","DET","RB91","21.7","98.1","1.4","4.4","30.5","0.1","0.0","21.7"
"Snoop Conner","JAC","RB92","21.6","89.2","0.7","9.2","68.4","0.3","0.1","21.6"
"Damiere Byrd","ATL","WR136","0.0","0.0","0.0","15.0","172.6","0.8","0.1","21.6"
"Marcedes Lewis","GB","TE56","0.0","0.0","0.0","16.2","154.4","1.2","0.5","21.6"
"Taysom Hill","NO","QB1","0.0","0.0","0.0","9.0","95.0","2.0","0.0","21.5"
"Simi Fehoko","DAL","WR137","0.0","0.0","0.0","11.0","155.0","1.0","0.0","21.5"
"Chad Beebe","HOU","WR138","0.0","0.0","0.0","14.0","166.4","0.8","0.0","21.2"
"Nick Boyle","BAL","TE57","0.0","0.0","0.0","14.1","132.3","1.3","0.0","21.1"
"DeeJay Dallas","SEA","RB93","16.2","66.9","0.6","12.5","79.8","0.5","0.2","20.9"
"Ihmir Smith-Marsette","MIN","WR139","0.0","0.0","0.0","12.2","145.4","1.0","0.1","20.5"
"Dazz Newsome","CHI","WR140","0.0","0.0","0.0","11.9","153.2","0.8","0.0","20.4"
"Trent Sherfield","MIA","WR141","0.0","0.0","0.0","12.7","149.9","0.9","0.1","20.3"
"Cam Sims","WAS","WR142","0.0","0.0","0.0","11.5","152.0","0.9","0.0","20.3"
"Dez Fitzpatrick","TEN","WR143","0.0","0.0","0.0","12.0","146.7","0.9","0.0","20.2"
"Eno Benjamin","ARI","RB94","26.5","108.6","0.8","5.3","38.2","0.1","0.2","19.8"
"Maxx Williams","ARI","TE58","0.0","0.0","0.0","14.0","153.5","0.7","0.0","19.7"
"Daniel Bellinger","NYG","TE59","0.0","0.0","0.0","14.3","144.7","0.9","0.1","19.6"
"Matt Bushman","KC","TE60","0.0","0.0","0.0","14.0","135.0","1.0","0.0","19.5"
"Zack Moss","BUF","RB95","26.3","103.2","0.8","4.6","32.3","0.2","0.0","19.3"
"Kyle Markway","LAR","TE61","0.0","0.0","0.0","12.0","132.0","1.0","0.0","19.2"
"Brock Wright","DET","TE62","0.0","0.0","0.0","12.1","116.0","1.3","0.0","19.1"
"Ashton Dulin","IND","WR144","1.5","10.0","0.1","10.2","128.5","0.9","0.1","19.1"
"Justice Hill","BAL","RB96","27.6","109.1","0.6","7.5","53.4","0.2","1.0","19.1"
"Tevin Coleman","NYJ","RB97","27.9","109.1","0.5","7.8","53.3","0.2","0.5","19.1"
"Laquon Treadwell","JAC","WR145","0.0","0.0","0.0","11.9","140.8","0.9","0.1","19.0"
"Tyler Johnson","TB","WR146","0.0","0.0","0.0","10.9","133.4","1.0","0.0","19.0"
"Cody Hollister","TEN","WR147","0.0","0.0","0.0","11.3","135.0","0.9","0.0","18.8"
"Danny Gray","SF","WR148","0.0","0.0","0.0","11.7","135.2","0.9","0.1","18.8"
"Nick Eubanks","CIN","TE63","0.0","0.0","0.0","12.0","125.0","1.0","0.0","18.5"
"Travis Homer","SEA","RB98","16.9","93.1","0.5","6.4","52.3","0.1","0.0","18.3"
"Cyril Grayson Jr.","TB","WR149","0.0","0.0","0.0","10.2","128.8","0.9","0.1","18.3"
"Alize Mack","GB","TE64","0.0","0.0","0.0","12.0","122.0","1.0","0.0","18.2"
"Greg Dulcich","DEN","TE65","0.0","0.0","0.0","11.5","119.7","1.0","0.0","18.1"
"Mike Davis","BAL","RB99","24.4","106.9","0.5","5.5","34.6","0.2","0.1","18.1"
"Tyler Badie","BAL","RB100","25.3","130.1","0.6","2.9","24.0","0.0","0.5","18.1"
"Pierre Strong Jr.","NE","RB101","23.7","100.8","0.7","4.0","31.6","0.1","0.0","18.1"
"Erik Ezukanma","MIA","WR150","0.0","0.0","0.0","10.9","122.2","1.0","0.1","17.9"
"Jakeem Grant Sr.","CLE","WR151","1.1","6.6","0.0","11.1","124.2","0.7","0.0","17.5"
"Ameer Abdullah","LV","RB102","13.0","46.6","0.1","10.9","87.2","0.6","0.0","17.5"
"Myles Gaskin","MIA","RB103","22.0","88.9","0.7","5.5","39.4","0.1","0.0","17.5"
"Ty Montgomery","NE","RB104","9.7","56.9","0.5","7.4","62.9","0.5","0.0","17.4"
"N'Keal Harry","CHI","WR152","0.0","0.0","0.0","10.3","124.8","0.8","0.1","17.3"
"Durham Smythe","MIA","TE66","0.0","0.0","0.0","13.5","132.0","0.7","0.0","17.3"
"Tyler Kroft","SF","TE67","0.0","0.0","0.0","11.0","125.0","0.8","0.0","17.3"
"Gary Brightwell","NYG","RB105","20.6","83.7","0.7","6.0","43.0","0.1","0.1","17.2"
"Ty'Son Williams","IND","RB106","19.9","100.9","0.6","3.5","29.7","0.1","0.0","17.1"
"Ko Kieft","TB","TE68","0.0","0.0","0.0","11.4","114.5","0.9","0.0","16.8"
"Mike Boone","DEN","RB107","15.0","83.2","0.9","3.5","25.1","0.1","0.0","16.7"
"Royce Freeman","HOU","RB108","17.3","70.7","0.4","8.5","55.5","0.3","0.0","16.6"
"Matt Sokol","NE","TE69","0.0","0.0","0.0","10.0","105.0","1.0","0.0","16.5"
"Isaih Pacheco","KC","RB109","20.0","89.8","0.7","3.6","29.9","0.1","0.0","16.5"
"Brandon Zylstra","CAR","WR153","0.0","0.0","0.0","10.6","130.7","0.6","0.1","16.4"
"Keaontay Ingram","ARI","RB110","23.1","94.0","0.7","3.1","26.9","0.0","0.0","16.4"
"Noah Gray","KC","TE70","0.0","0.0","0.0","11.1","106.0","1.0","0.0","16.4"
"Javon Wims","CLE","WR154","0.0","0.0","0.0","10.7","121.5","0.7","0.0","16.3"
"Kyren Williams","LAR","RB111","18.6","74.9","0.8","4.6","35.1","0.0","0.1","15.8"
"Connor Heyward","PIT","TE71","0.0","0.0","0.0","11.5","115.9","0.7","0.1","15.8"
"Ryan Griffin","CHI","TE72","0.0","0.0","0.0","9.9","100.5","1.0","0.0","15.7"
"Rysen John","CHI","WR155","0.0","0.0","0.0","10.0","97.0","1.0","0.0","15.7"
"Patrick Ricard","BAL","RB112","2.7","8.2","0.1","12.1","85.3","1.0","0.0","15.4"
"Kenny Yeboah","NYJ","TE73","0.0","0.0","0.0","11.1","107.5","0.8","0.0","15.4"
"Mason Schreck","HOU","TE74","0.0","0.0","0.0","10.0","93.0","1.0","0.0","15.3"
"Jalen Reagor","PHI","WR156","4.7","25.7","0.2","7.4","82.6","0.6","0.2","15.3"
"Albert Wilson","MIN","WR157","4.4","27.7","0.2","7.6","78.4","0.6","0.0","15.2"
"Trestan Ebner","CHI","RB113","15.5","65.3","0.5","5.7","41.7","0.2","0.1","15.0"
"Josh Oliver","BAL","TE75","0.0","0.0","0.0","10.7","92.7","0.9","0.0","14.8"
"Jake Ferguson","DAL","TE76","0.0","0.0","0.0","9.6","100.0","0.8","0.0","14.8"
"Kalif Raymond","DET","WR158","0.7","4.2","0.0","7.7","101.9","0.7","0.1","14.7"
"J.J. Taylor","NE","RB114","22.4","65.4","1.2","1.5","8.2","0.1","0.0","14.7"
"Blake Bell","KC","TE77","0.0","0.0","0.0","10.0","95.5","0.8","0.0","14.6"
"Lynn Bowden Jr.","MIA","WR159","4.5","28.5","0.2","7.3","73.3","0.5","0.0","14.6"
"Kevin Harris","NE","RB115","19.6","83.6","0.6","3.0","24.3","0.0","0.0","14.5"
"Dominique Dafney","GB","TE78","0.0","0.0","0.0","7.6","91.6","0.9","0.0","14.4"
"Ray-Ray McCloud","SF","WR160","0.0","0.0","0.0","10.1","94.8","0.8","0.0","14.1"
"Isaiah Likely","BAL","TE79","0.0","0.0","0.0","9.4","91.7","0.8","0.0","14.1"
"Dare Ogunbowale","HOU","RB116","9.6","39.0","0.3","9.0","67.8","0.3","0.1","13.9"
"Abram Smith","NO","RB117","20.5","85.1","0.6","1.9","13.8","0.1","0.1","13.9"
"Nick Vannett","NO","TE80","0.0","0.0","0.0","8.6","91.7","0.8","0.1","13.8"
"Chris Moore","HOU","WR161","0.0","0.0","0.0","9.9","108.7","0.5","0.0","13.8"
"Jerome Ford","CLE","RB118","17.0","86.3","0.5","2.0","18.5","0.0","0.0","13.7"
"Drew Sample","CIN","TE81","0.0","0.0","0.0","10.2","89.7","0.8","0.1","13.6"
"Juwan Johnson","NO","TE82","0.0","0.0","0.0","6.5","73.4","1.0","0.0","13.5"
"Marcus Johnson","SF","WR162","0.0","0.0","0.0","7.5","92.2","0.7","0.0","13.4"
"Rico Dowdle","DAL","RB119","16.6","69.2","0.5","3.6","27.3","0.1","0.0","13.3"
"Trey Sermon","SF","RB120","14.8","60.1","0.5","4.6","30.7","0.2","0.0","13.3"
"Richard Rodgers","PHI","TE83","0.0","0.0","0.0","8.7","86.9","0.8","0.0","13.2"
"Demetric Felton Jr.","CLE","RB121","4.8","18.9","0.1","6.6","66.9","0.7","0.0","13.2"
"Zach Gentry","PIT","TE84","0.0","0.0","0.0","9.9","89.3","0.7","0.0","13.2"
"Johnny Stanton","CLE","RB122","6.7","29.8","0.4","5.3","36.1","0.7","0.0","13.1"
"Khalil Shakir","BUF","WR163","1.0","6.0","0.1","6.4","81.3","0.7","0.0","13.1"
"Ty Chandler","MIN","RB123","18.0","76.7","0.6","2.0","19.5","0.0","0.0","13.0"
"Tory Carter","TEN","RB124","9.5","44.5","0.5","6.9","49.4","0.1","0.0","12.9"
"Richie James Jr.","NYG","WR164","0.0","0.0","0.0","8.0","100.1","0.5","0.1","12.8"
"Jacob Harris","LAR","TE85","0.0","0.0","0.0","8.0","86.9","0.7","0.0","12.8"
"JaMycal Hasty","SF","RB125","11.0","46.6","0.6","5.9","41.0","0.1","0.0","12.8"
"Andy Janovich","HOU","RB126","8.7","34.6","0.2","8.2","63.6","0.3","0.0","12.6"
"Deonte Harris","NO","WR165","1.3","11.0","0.0","6.4","78.9","0.6","0.0","12.6"
"Qadree Ollison","ATL","RB127","12.6","51.2","0.4","5.7","39.2","0.2","0.1","12.4"
"Stephen Anderson","ARI","TE86","0.0","0.0","0.0","8.1","83.9","0.7","0.0","12.4"
"Kene Nwangwu","MIN","RB128","13.8","58.1","0.4","4.3","30.5","0.2","0.1","12.4"
"Samori Toure","GB","WR166","0.0","0.0","0.0","6.8","80.6","0.7","0.0","12.4"
"Jake Funk","LAR","RB129","14.4","60.3","0.5","3.3","23.7","0.2","0.1","12.2"
"Larry Rountree III","LAC","RB130","15.5","70.7","0.4","2.6","19.9","0.1","0.0","12.2"
"Jody Fortson","KC","WR167","0.0","0.0","0.0","7.0","76.4","0.7","0.0","12.0"
"Chris Manhertz","JAC","TE87","0.0","0.0","0.0","6.5","69.5","0.9","0.0","12.0"
"Jeremy Sprinkle","DAL","TE88","0.0","0.0","0.0","7.8","79.0","0.7","0.0","12.0"
"Tre'Quan Smith","NO","WR168","0.0","0.0","0.0","6.6","82.9","0.6","0.1","11.8"
"Ross Dwelley","SF","TE89","0.0","0.0","0.0","7.4","79.1","0.7","0.0","11.8"
"Keith Smith","ATL","RB131","8.1","32.7","0.2","7.9","54.2","0.3","0.1","11.6"
"Dwayne Washington","NO","RB132","14.7","63.6","0.4","2.9","21.1","0.1","0.1","11.5"
"Penny Hart","SEA","WR169","0.0","0.0","0.0","7.9","84.5","0.5","0.0","11.3"
"Luke Farrell","JAC","TE90","0.0","0.0","0.0","7.6","81.0","0.5","0.1","11.2"
"Tre' McKitty","LAC","TE91","0.0","0.0","0.0","8.4","80.7","0.5","0.0","11.2"
"Scotty Miller","TB","WR170","0.2","1.5","0.0","6.2","78.6","0.5","0.1","11.1"
"Charlie Kolar","BAL","TE92","0.0","0.0","0.0","6.8","71.5","0.7","0.0","11.0"
"Kevin Rader","PIT","TE93","0.0","0.0","0.0","8.6","69.7","0.7","0.0","11.0"
"Anthony Miller","PIT","WR171","0.0","0.0","0.0","7.4","79.3","0.5","0.0","10.9"
"DeAndre Carter","LAC","WR172","0.0","0.0","0.0","6.6","77.1","0.6","0.1","10.9"
"Kristian Wilkerson","NE","WR173","0.0","0.0","0.0","6.7","78.4","0.5","0.0","10.9"
"Teagan Quitoriano","HOU","TE94","0.0","0.0","0.0","7.5","70.8","0.6","0.0","10.9"
"Christian Blake","ARI","WR174","0.0","0.0","0.0","7.0","79.9","0.5","0.0","10.8"
"Charlie Woerner","SF","TE95","0.0","0.0","0.0","6.8","66.8","0.7","0.0","10.7"
"Jeremy Ruckert","NYJ","TE96","0.0","0.0","0.0","6.8","68.5","0.6","0.0","10.7"
"Racey McMath","TEN","WR175","0.0","0.0","0.0","6.5","78.6","0.5","0.1","10.7"
"Kyle Philips","TEN","WR176","0.0","0.0","0.0","6.5","76.3","0.5","0.0","10.6"
"Jesper Horsted","LV","TE97","0.0","0.0","0.0","6.9","74.1","0.5","0.0","10.6"
"Nick Muse","MIN","TE98","0.0","0.0","0.0","6.9","70.6","0.6","0.0","10.6"
"Keelan Doss","NYG","WR177","0.0","0.0","0.0","7.2","79.4","0.4","0.0","10.5"
"Ben Ellefson","MIN","TE99","0.0","0.0","0.0","6.2","62.5","0.7","0.0","10.5"
"Josh Malone","TEN","WR178","0.0","0.0","0.0","6.3","73.9","0.5","0.0","10.5"
"Tyree Jackson","PHI","TE100","0.0","0.0","0.0","6.5","64.6","0.7","0.1","10.4"
"Sean McKeon","DAL","TE101","0.0","0.0","0.0","6.8","68.5","0.6","0.1","10.4"
"Anthony McFarland Jr.","PIT","RB133","12.8","53.1","0.4","3.2","23.6","0.1","0.1","10.3"
"Ty Johnson","NYJ","RB134","8.0","33.4","0.2","5.7","45.0","0.2","0.1","10.2"
"Adam Shaheen","MIA","TE102","0.0","0.0","0.0","7.7","74.0","0.5","0.0","10.2"
"Nsimba Webster","CHI","WR179","0.0","0.0","0.0","6.0","77.0","0.4","0.0","10.1"
"Andre Roberts","CAR","WR180","0.0","0.0","0.0","5.9","73.0","0.4","0.0","9.9"
"Trenton Cannon","TEN","RB135","7.5","30.1","0.2","5.7","43.7","0.2","0.0","9.8"
"Brycen Hopkins","LAR","TE103","0.0","0.0","0.0","6.0","65.6","0.5","0.0","9.7"
"T.J. Vasher","DAL","WR181","0.0","0.0","0.0","5.6","64.9","0.6","0.0","9.7"
"Colby Parkinson","SEA","TE104","0.0","0.0","0.0","7.2","68.2","0.5","0.1","9.7"
"Tajae Sharpe","CHI","WR182","0.0","0.0","0.0","5.9","71.4","0.4","0.0","9.6"
"C.J. Ham","MIN","RB136","5.4","21.9","0.1","6.5","48.8","0.3","0.1","9.6"
"Mack Hollins","LV","WR183","0.0","0.0","0.0","5.1","65.0","0.5","0.0","9.5"
"Mike Strachan","IND","WR184","0.0","0.0","0.0","5.8","68.1","0.5","0.0","9.5"
"Trent Taylor","CIN","WR185","0.0","0.0","0.0","6.2","64.3","0.5","0.0","9.4"
"John FitzPatrick","ATL","TE105","0.0","0.0","0.0","6.4","59.2","0.6","0.0","9.2"
"Jaelon Darden","TB","WR186","0.0","0.0","0.0","5.3","62.2","0.5","0.0","9.2"
"Eric Tomlinson","DEN","TE106","0.0","0.0","0.0","5.9","58.7","0.5","0.0","9.0"
"Godwin Igwebuike","DET","RB137","8.2","35.0","0.3","4.0","29.4","0.2","0.1","8.9"
"Johnny Mundt","MIN","TE107","0.0","0.0","0.0","5.9","59.1","0.5","0.1","8.9"
"Bisi Johnson","MIN","WR187","0.0","0.0","0.0","5.4","58.9","0.5","0.1","8.5"
"Marquise Goodwin","SEA","WR188","0.0","0.0","0.0","4.8","66.8","0.3","0.0","8.4"
"Mike Thomas","CIN","WR189","0.0","0.0","0.0","5.1","58.5","0.4","0.0","8.3"
"Dezmon Patmon","IND","WR190","0.0","0.0","0.0","5.0","59.5","0.4","0.0","8.2"
"Jeff Smith","NYJ","WR191","0.0","0.0","0.0","5.3","62.8","0.3","0.0","8.2"
"Derrick Gore","KC","RB138","4.4","17.9","0.2","4.7","36.2","0.3","0.0","8.2"
"Chigoziem Okonkwo","TEN","TE108","0.0","0.0","0.0","5.3","55.7","0.5","0.0","8.2"
"Shi Smith","CAR","WR192","0.0","0.0","0.0","5.0","61.2","0.3","0.0","8.1"
"Patrick Taylor Jr.","GB","RB139","8.0","33.8","0.3","3.2","23.0","0.1","0.1","8.0"
"Darrynton Evans","CHI","RB140","8.2","34.8","0.3","2.7","20.9","0.1","0.1","8.0"
"Tyron Johnson","LV","WR193","0.0","0.0","0.0","4.5","57.2","0.4","0.0","7.9"
"Isaiah Coulter","CHI","WR194","0.0","0.0","0.0","4.5","58.2","0.3","0.0","7.9"
"Cole Turner","WAS","TE109","0.0","0.0","0.0","5.2","53.7","0.4","0.0","7.8"
"Antony Auclair","HOU","TE110","0.0","0.0","0.0","5.9","57.2","0.4","0.1","7.8"
"Denzel Mims","NYJ","WR195","0.0","0.0","0.0","4.5","57.8","0.3","0.0","7.7"
"Hunter Long","MIA","TE111","0.0","0.0","0.0","5.3","50.0","0.5","0.0","7.7"
"Devin Asiasi","NE","TE112","0.0","0.0","0.0","3.9","51.6","0.4","0.0","7.4"
"Josh Gordon","KC","WR196","0.0","0.0","0.0","3.4","53.1","0.4","0.0","7.4"
"Tyrie Cleveland","DEN","WR197","0.0","0.0","0.0","4.3","50.0","0.4","0.0","7.2"
"Jakob Johnson","LV","RB141","4.0","16.5","0.2","4.4","32.7","0.3","0.1","7.2"
"Andrew Beck","DEN","TE113","4.7","18.9","0.2","4.4","31.9","0.2","0.0","7.1"
"KhaDarel Hodge","ATL","WR198","0.0","0.0","0.0","4.6","56.2","0.3","0.0","7.1"
"Trey Edmunds","PIT","RB142","4.4","17.6","0.2","4.5","32.6","0.2","0.0","7.1"
"Preston Williams","MIA","WR199","0.0","0.0","0.0","4.2","49.7","0.4","0.0","7.0"
"Jordan Wilkins","TEN","RB143","5.2","21.9","0.2","3.9","28.1","0.2","0.0","7.0"
"Alec Ingold","MIA","RB144","4.3","17.4","0.2","4.4","31.3","0.2","0.1","7.0"
"Mekhi Sargent","JAC","RB145","4.5","17.8","0.2","4.2","32.0","0.2","0.0","7.0"
"Stanley Morgan Jr.","CIN","WR200","0.0","0.0","0.0","4.3","48.5","0.3","0.0","6.9"
"Giovanni Ricci","CAR","TE114","4.5","18.1","0.1","4.1","31.3","0.2","0.0","6.8"
"Kylin Hill","GB","RB146","6.6","26.8","0.2","3.2","23.1","0.1","0.0","6.8"
"Alex Armah Jr.","WAS","RB147","4.8","18.9","0.2","3.9","27.9","0.2","0.0","6.7"
"Justin Watson","KC","WR201","0.0","0.0","0.0","3.9","45.5","0.4","0.0","6.7"
"Antonio Williams","NYG","RB148","7.4","32.2","0.3","2.1","15.0","0.1","0.1","6.7"
"Michael Burton","KC","RB149","5.8","23.6","0.3","2.3","17.1","0.2","0.0","6.4"
"La'Mical Perine","NYJ","RB150","4.3","17.2","0.2","3.9","27.4","0.2","0.0","6.4"
"Deon Jackson","IND","RB151","8.7","37.4","0.3","1.0","6.9","0.0","0.1","6.4"
"Nick Bowers","LV","TE115","0.0","0.0","0.0","4.0","42.2","0.4","0.0","6.3"
"Malik Taylor","GB","WR202","0.0","0.0","0.0","3.6","43.2","0.3","0.0","6.3"
"Seth Williams","DEN","WR203","0.0","0.0","0.0","3.7","42.5","0.3","0.0","6.3"
"Corey Coleman","KC","WR204","0.0","0.0","0.0","3.4","42.4","0.3","0.0","6.3"
"Kendall Hinton","DEN","WR205","0.0","0.0","0.0","3.7","42.3","0.3","0.0","6.3"
"Greg Dortch","ARI","WR206","0.0","0.0","0.0","3.8","44.6","0.3","0.0","6.3"
"Jason Cabinda","DET","LB1","3.3","13.6","0.1","4.1","30.2","0.2","0.0","6.2"
"Hunter Kampmoyer","LAC","TE116","0.0","0.0","0.0","3.8","39.6","0.4","0.0","6.2"
"Trayveon Williams","CIN","RB152","4.4","17.9","0.1","4.2","29.2","0.2","0.0","6.1"
"Marquez Stevenson","BUF","WR207","0.0","0.0","0.0","3.5","41.1","0.3","0.0","6.1"
"Jace Sternberger","PIT","TE117","0.0","0.0","0.0","4.2","40.9","0.3","0.0","6.1"
"Mataeo Durant","PIT","RB153","7.4","30.8","0.2","2.1","14.3","0.1","0.0","6.1"
"Parker Hesse","ATL","TE118","0.0","0.0","0.0","4.5","43.9","0.3","0.0","6.0"
"Eric Saubert","DEN","TE119","0.0","0.0","0.0","4.1","38.0","0.4","0.0","5.9"
"Ryquell Armstead","JAC","RB154","4.9","19.9","0.2","2.8","22.2","0.1","0.0","5.9"
"Trenton Irwin","CIN","WR208","0.0","0.0","0.0","3.6","40.1","0.3","0.0","5.9"
"Lil'Jordan Humphrey","NE","WR209","0.0","0.0","0.0","3.4","42.5","0.3","0.0","5.8"
"Jalen Nailor","MIN","WR210","0.0","0.0","0.0","3.4","39.9","0.3","0.0","5.8"
"Jason Huntley","PHI","RB155","6.6","28.3","0.2","1.7","11.9","0.1","0.1","5.7"
"Derek Watt","PIT","RB156","2.2","8.7","0.1","4.4","32.9","0.2","0.0","5.7"
"David Moore","CHI","WR211","0.0","0.0","0.0","2.9","43.4","0.2","0.0","5.6"
"Khari Blasingame","CHI","RB157","2.4","9.8","0.1","3.8","29.4","0.2","0.0","5.6"
"Greg Ward","PHI","WR212","0.0","0.0","0.0","4.0","34.9","0.3","0.0","5.5"
"Garrett Griffin","DET","TE120","0.0","0.0","0.0","3.9","38.6","0.3","0.0","5.5"
"Jacob Hollister","LV","TE121","0.0","0.0","0.0","4.0","35.0","0.3","0.0","5.5"
"Malik Turner","SF","WR213","0.0","0.0","0.0","3.2","35.2","0.3","0.0","5.5"
"Reggie Gilliam","BUF","RB158","0.0","0.0","0.0","4.3","36.0","0.3","0.0","5.4"
"Dax Milne","WAS","WR214","0.0","0.0","0.0","3.3","38.8","0.2","0.0","5.2"
"Dante Pettis","CHI","WR215","0.0","0.0","0.0","2.9","40.8","0.2","0.0","5.2"
"Andy Isabella","ARI","WR216","0.0","0.0","0.0","3.0","37.1","0.2","0.0","5.1"
"Miller Forristall","CLE","TE122","0.0","0.0","0.0","3.4","34.9","0.3","0.1","5.1"
"Steven Sims Jr.","PIT","WR217","0.0","0.0","0.0","3.7","39.3","0.2","0.0","5.1"
"KeeSean Johnson","SF","WR218","0.0","0.0","0.0","3.0","30.9","0.3","0.0","5.1"
"Tyler Mabry","SEA","TE123","0.0","0.0","0.0","3.6","36.5","0.2","0.0","5.0"
"Cody Core","MIA","WR219","0.0","0.0","0.0","3.5","37.8","0.2","0.0","5.0"
"Grant Calcaterra","PHI","TE124","0.0","0.0","0.0","3.1","31.3","0.3","0.0","5.0"
"Trinity Benson","DET","WR220","0.0","0.0","0.0","3.4","39.8","0.2","0.0","5.0"
"Collin Johnson","NYG","WR221","0.0","0.0","0.0","3.5","39.5","0.2","0.0","5.0"
"Daurice Fountain","KC","WR222","0.0","0.0","0.0","2.9","33.6","0.3","0.0","5.0"
"Adam Prentice","NO","RB159","4.4","18.7","0.1","2.0","14.7","0.1","0.0","5.0"
"J.J. Arcega-Whiteside","PHI","WR223","0.0","0.0","0.0","3.0","35.3","0.2","0.0","4.9"
"Jason Moore Jr.","LAC","WR224","0.0","0.0","0.0","2.8","34.2","0.3","0.0","4.9"
"David Sills V","NYG","WR225","0.0","0.0","0.0","3.5","38.7","0.2","0.0","4.9"
"Nakia Griffin-Stewart","CLE","TE125","0.0","0.0","0.0","3.3","32.9","0.3","0.0","4.9"
"Frank Darby","ATL","WR226","0.0","0.0","0.0","3.2","36.4","0.2","0.0","4.7"
"Auden Tate","ATL","WR227","0.0","0.0","0.0","2.9","35.2","0.2","0.0","4.7"
"Travis Fulgham","DEN","WR228","0.0","0.0","0.0","2.6","31.1","0.3","0.0","4.6"
"Geronimo Allison","ATL","WR229","0.0","0.0","0.0","3.2","35.8","0.2","0.0","4.6"
"Cameron Batson","ATL","WR230","0.0","0.0","0.0","3.2","35.6","0.2","0.0","4.6"
"Cody Thompson","SEA","WR231","0.0","0.0","0.0","3.2","34.6","0.2","0.0","4.5"
"Nick Bawden","NYJ","RB160","0.0","0.0","0.0","4.3","31.5","0.2","0.0","4.4"
"Tommy Hudson","TEN","TE126","0.0","0.0","0.0","2.7","27.6","0.2","0.0","4.2"
"Codey McElroy","TB","TE127","0.0","0.0","0.0","2.1","22.5","0.2","0.0","3.5"
"Justyn Ross","KC","WR232","0.0","0.0","0.0","1.9","21.3","0.2","0.0","3.3"
"Brandon Powell","LAR","WR233","0.0","0.0","0.0","1.8","20.3","0.2","0.0","3.0"
"Gabe Nabers","LAC","RB161","4.4","18.9","0.2","0.0","0.0","0.0","0.0","2.9"
"Tommy Sweeney","BUF","TE128","0.0","0.0","0.0","1.9","18.3","0.2","0.0","2.8"
"Mitchell Wilcox","CIN","TE129","0.0","0.0","0.0","1.8","18.4","0.2","0.0","2.8"
"James Mitchell","DET","TE130","0.0","0.0","0.0","1.8","18.4","0.2","0.0","2.7"
"Tre Nixon","NE","WR234","0.0","0.0","0.0","1.7","19.2","0.1","0.0","2.7"
"Andrew Ogletree","IND","TE131","0.0","0.0","0.0","1.7","17.7","0.2","0.0","2.7"
"Jack Stoll","PHI","TE132","0.0","0.0","0.0","1.7","16.5","0.2","0.0","2.6"
"Stephen Sullivan","CAR","TE133","0.0","0.0","0.0","1.8","19.0","0.1","0.0","2.6"
"Bo Melton","SEA","WR235","0.0","0.0","0.0","1.7","18.7","0.1","0.0","2.4"
"Sammis Reyes","WAS","TE134","0.0","0.0","0.0","0.9","8.9","0.1","0.0","1.3"
"Gunner Olszewski","PIT","WR236","0.0","0.0","0.0","0.8","9.3","0.0","0.0","1.1"
"Jared Pinkney","LAR","TE135","0.0","0.0","0.0","0.5","4.4","0.0","0.0","0.7"
"Devin Funchess","DET","WR237","0.0","0.0","0.0","0.4","4.5","0.0","0.0","0.6"
"Devine Ozigbo","NO","RB162","0.6","2.4","0.0","0.2","1.8","0.0","0.0","0.6"
"Vyncint Smith","TB","WR238","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kevin White","NO","WR239","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathan Williams","WAS","RB163","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Damarea Crockett","DEN","RB164","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Deon Yelder","ARI","TE136","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dan Chisena","MIN","WR240","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"River Cracraft","MIA","WR241","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Hightower","PHI","WR242","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Antonio Gandy-Golden","WAS","WR243","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kirk Merritt","NO","WR244","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nathan Cottrell","JAC","RB165","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
