"Player","Team","REC","YDS","TDS","FL","FPTS"
"Ross Dwelley","SF","7.4","79.1","0.7","0.0","11.8"
"Luke Farrell","JAC","7.6","81.0","0.5","0.1","11.2"
"Tre' McKitty","LAC","8.4","80.7","0.5","0.0","11.2"
"Charlie Kolar","BAL","6.8","71.5","0.7","0.0","11.0"
"Kevin Rader","PIT","8.6","69.7","0.7","0.0","11.0"
"Teagan Quitoriano","HOU","7.5","70.8","0.6","0.0","10.9"
"Charlie Woerner","SF","6.8","66.8","0.7","0.0","10.7"
"Jeremy Ruckert","NYJ","6.8","68.5","0.6","0.0","10.7"
"Jesper Horsted","LV","6.9","74.1","0.5","0.0","10.6"
"Nick Muse","MIN","6.9","70.6","0.6","0.0","10.6"
"Ben Ellefson","MIN","6.2","62.5","0.7","0.0","10.5"
"Tyree Jackson","PHI","6.5","64.6","0.7","0.1","10.4"
"Sean McKeon","DAL","6.8","68.5","0.6","0.1","10.4"
"Adam Shaheen","MIA","7.7","74.0","0.5","0.0","10.2"
"Brycen Hopkins","LAR","6.0","65.6","0.5","0.0","9.7"
"Colby Parkinson","SEA","7.2","68.2","0.5","0.1","9.7"
"John FitzPatrick","ATL","6.4","59.2","0.6","0.0","9.2"
"Eric Tomlinson","DEN","5.9","58.7","0.5","0.0","9.0"
"Johnny Mundt","MIN","5.9","59.1","0.5","0.1","8.9"
"Chigoziem Okonkwo","TEN","5.3","55.7","0.5","0.0","8.2"
"Cole Turner","WAS","5.2","53.7","0.4","0.0","7.8"
"Antony Auclair","HOU","5.9","57.2","0.4","0.1","7.8"
"Hunter Long","MIA","5.3","50.0","0.5","0.0","7.7"
"Devin Asiasi","NE","3.9","51.6","0.4","0.0","7.4"
"Nick Bowers","LV","4.0","42.2","0.4","0.0","6.3"
"Reggie Gilliam","BUF","4.1","39.4","0.4","0.0","6.2"
"Hunter Kampmoyer","LAC","3.8","39.6","0.4","0.0","6.2"
"Jace Sternberger","PIT","4.2","40.9","0.3","0.0","6.1"
"Parker Hesse","ATL","4.5","43.9","0.3","0.0","6.0"
"Eric Saubert","DEN","4.1","38.0","0.4","0.0","5.9"
"Garrett Griffin","DET","3.9","38.6","0.3","0.0","5.5"
"Jacob Hollister","LV","4.0","35.0","0.3","0.0","5.5"
"Miller Forristall","CLE","3.4","34.9","0.3","0.1","5.1"
"Tyler Mabry","SEA","3.6","36.5","0.2","0.0","5.0"
"Grant Calcaterra","PHI","3.1","31.3","0.3","0.0","5.0"
"Nakia Griffin-Stewart","CLE","3.3","32.9","0.3","0.0","4.9"
"Tommy Hudson","TEN","2.7","27.6","0.2","0.0","4.2"
"Codey McElroy","TB","2.1","22.5","0.2","0.0","3.5"
"Tommy Sweeney","BUF","1.9","18.3","0.2","0.0","2.8"
"Mitchell Wilcox","CIN","1.8","18.4","0.2","0.0","2.8"
"James Mitchell","DET","1.8","18.4","0.2","0.0","2.7"
"Andrew Ogletree","IND","1.7","17.7","0.2","0.0","2.7"
"Jack Stoll","PHI","1.7","16.5","0.2","0.0","2.6"
"Stephen Sullivan","CAR","1.8","19.0","0.1","0.0","2.6"
"Sammis Reyes","WAS","0.9","8.9","0.1","0.0","1.3"
"Jared Pinkney","LAR","0.5","4.4","0.0","0.0","0.7"
"Colin Thompson","CAR","0.0","0.0","0.0","0.0","0.0"
"Troy Fumagalli","SF","0.0","0.0","0.0","0.0","0.0"
"Trevon Wesco","NYJ","0.0","0.0","0.0","0.0","0.0"
"J.P. Holtz","NO","0.0","0.0","0.0","0.0","0.0"
"Alex Ellis","ARI","0.0","0.0","0.0","0.0","0.0"
"Chris Myarick","NYG","0.0","0.0","0.0","0.0","0.0"
"Jordan Franks","KC","0.0","0.0","0.0","0.0","0.0"
"Tanner Hudson","SF","0.0","0.0","0.0","0.0","0.0"
"Noah Togiai","PHI","0.0","0.0","0.0","0.0","0.0"
"Cethan Carter","MIA","0.0","0.0","0.0","0.0","0.0"
"Deon Yelder","ARI","0.0","0.0","0.0","0.0","0.0"
""
""
